t_days,Ca_uM,YAP_nuclear,NFkB_active,STAT6_active,phenotype_inflammatory,phenotype_transitional,phenotype_healing,phenotype_fbgc_prone,fbgc_risk
0.1285,0.54134,0.67012,0.2812,0.00156,0.43677,0.40551,0.10006,0.00034,1e-05
0.1292,0.54161,0.67018,0.28117,0.00157,0.43677,0.40549,0.10004,0.00034,1e-05
0.1299,0.54188,0.67024,0.28114,0.00157,0.43678,0.40547,0.10003,0.00034,1e-05
0.1306,0.54214,0.67029,0.28111,0.00158,0.43678,0.40544,0.10002,0.00035,1e-05
0.1312,0.5424,0.67034,0.28108,0.00158,0.43678,0.40542,0.1,0.00035,1e-05
0.1319,0.54266,0.67039,0.28105,0.00159,0.43679,0.4054,0.09999,0.00035,1e-05
0.1326,0.54292,0.67044,0.28102,0.00159,0.43679,0.40538,0.09998,0.00035,1e-05
0.1333,0.54317,0.67049,0.28099,0.0016,0.43679,0.40536,0.09997,0.00035,1e-05
0.134,0.54342,0.67054,0.28096,0.00161,0.43679,0.40533,0.09996,0.00035,1e-05
0.1347,0.54366,0.67058,0.28093,0.00161,0.43679,0.40531,0.09995,0.00035,1e-05
0.1354,0.54391,0.67063,0.2809,0.00162,0.43679,0.40529,0.09994,0.00035,1e-05
0.1361,0.54415,0.67067,0.28086,0.00162,0.43679,0.40527,0.09993,0.00036,1e-05
0.1368,0.54439,0.67071,0.28083,0.00163,0.43679,0.40525,0.09993,0.00036,1e-05
0.1375,0.54462,0.67075,0.2808,0.00163,0.43678,0.40522,0.09992,0.00036,1e-05
0.1382,0.54486,0.67079,0.28077,0.00164,0.43678,0.4052,0.09991,0.00036,1e-05
0.1389,0.54509,0.67083,0.28074,0.00164,0.43678,0.40518,0.0999,0.00036,1e-05
0.1396,0.54532,0.67086,0.28071,0.00165,0.43677,0.40516,0.0999,0.00036,1e-05
0.1403,0.54554,0.6709,0.28068,0.00166,0.43677,0.40513,0.09989,0.00036,1e-05
0.141,0.54577,0.67093,0.28065,0.00166,0.43676,0.40511,0.09988,0.00036,1e-05
0.1417,0.54599,0.67096,0.28062,0.00167,0.43676,0.40509,0.09988,0.00037,1e-05
0.1424,0.54621,0.671,0.28059,0.00167,0.43675,0.40507,0.09987,0.00037,1e-05
0.1431,0.54643,0.67103,0.28056,0.00168,0.43675,0.40504,0.09987,0.00037,1e-05
0.1438,0.54664,0.67106,0.28053,0.00168,0.43674,0.40502,0.09986,0.00037,1e-05
0.1444,0.54685,0.67108,0.2805,0.00169,0.43673,0.405,0.09986,0.00037,1e-05
0.1451,0.54707,0.67111,0.28047,0.00169,0.43672,0.40498,0.09985,0.00037,1e-05
0.1458,0.54727,0.67114,0.28044,0.0017,0.43672,0.40495,0.09985,0.00037,1e-05
0.1465,0.54748,0.67116,0.28041,0.0017,0.43671,0.40493,0.09984,0.00037,1e-05
0.1472,0.54769,0.67119,0.28038,0.00171,0.4367,0.40491,0.09984,0.00038,1e-05
0.1479,0.54789,0.67121,0.28034,0.00172,0.43669,0.40488,0.09984,0.00038,1e-05
0.1486,0.54809,0.67123,0.28031,0.00172,0.43668,0.40486,0.09983,0.00038,1e-05
0.1493,0.54829,0.67125,0.28028,0.00173,0.43667,0.40484,0.09983,0.00038,1e-05
0.15,0.54849,0.67128,0.28025,0.00173,0.43666,0.40482,0.09983,0.00038,1e-05
0.1507,0.54868,0.6713,0.28022,0.00174,0.43665,0.40479,0.09983,0.00038,1e-05
0.1514,0.54888,0.67131,0.28019,0.00174,0.43664,0.40477,0.09982,0.00038,1e-05
