t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.0917,0.46305,0.65578,0.25934,0.00113,0.41791,0.38503,0.17072,0.00048,0.0
0.0924,0.46353,0.65604,0.25933,0.00113,0.41802,0.38503,0.17065,0.00048,0.0
0.0931,0.46401,0.6563,0.25933,0.00114,0.41812,0.38503,0.17057,0.00048,0.0
0.0938,0.46448,0.65656,0.25932,0.00115,0.41822,0.38503,0.1705,0.00049,0.0
0.0944,0.46495,0.6568,0.25931,0.00115,0.41831,0.38503,0.17043,0.00049,0.0
0.0951,0.4654,0.65704,0.25931,0.00116,0.4184,0.38502,0.17037,0.00049,0.0
0.0958,0.46585,0.65728,0.2593,0.00117,0.41849,0.38502,0.1703,0.00049,0.0
0.0965,0.46629,0.6575,0.25929,0.00117,0.41858,0.38502,0.17024,0.0005,0.0
0.0972,0.46672,0.65773,0.25928,0.00118,0.41866,0.38502,0.17017,0.0005,0.0
0.0979,0.46714,0.65794,0.25927,0.00119,0.41874,0.38501,0.17011,0.0005,0.0
0.0986,0.46756,0.65815,0.25926,0.00119,0.41882,0.38501,0.17005,0.00051,0.0
0.0993,0.46797,0.65836,0.25925,0.0012,0.4189,0.385,0.17,0.00051,0.0
0.1,0.46837,0.65856,0.25924,0.0012,0.41897,0.385,0.16994,0.00051,0.0
0.1007,0.46877,0.65875,0.25923,0.00121,0.41904,0.38499,0.16989,0.00051,0.0
0.1014,0.46916,0.65894,0.25922,0.00122,0.41911,0.38499,0.16984,0.00052,0.0
0.1021,0.46954,0.65913,0.25921,0.00122,0.41918,0.38498,0.16978,0.00052,0.0
0.1028,0.46992,0.65931,0.2592,0.00123,0.41924,0.38497,0.16973,0.00052,0.0
0.1035,0.47029,0.65948,0.25919,0.00124,0.4193,0.38497,0.16969,0.00052,0.0
0.1042,0.47065,0.65965,0.25917,0.00124,0.41937,0.38496,0.16964,0.00053,0.0
0.1049,0.47101,0.65982,0.25916,0.00125,0.41942,0.38495,0.16959,0.00053,0.0
0.1056,0.47136,0.65998,0.25915,0.00125,0.41948,0.38494,0.16955,0.00053,0.0
0.1062,0.47171,0.66014,0.25913,0.00126,0.41954,0.38493,0.16951,0.00053,0.0
0.1069,0.47205,0.66029,0.25912,0.00127,0.41959,0.38492,0.16947,0.00054,0.0
0.1076,0.47239,0.66044,0.25911,0.00127,0.41964,0.38492,0.16943,0.00054,0.0
0.1083,0.47272,0.66058,0.25909,0.00128,0.41969,0.38491,0.16939,0.00054,0.0
0.109,0.47304,0.66072,0.25908,0.00128,0.41974,0.3849,0.16935,0.00054,0.0
0.1097,0.47336,0.66086,0.25906,0.00129,0.41978,0.38489,0.16931,0.00055,0.0
0.1104,0.47368,0.66099,0.25905,0.0013,0.41982,0.38488,0.16928,0.00055,0.0
0.1111,0.47399,0.66112,0.25903,0.0013,0.41987,0.38487,0.16924,0.00055,0.0
0.1118,0.4743,0.66125,0.25901,0.00131,0.41991,0.38485,0.16921,0.00056,0.0
0.1125,0.4746,0.66137,0.259,0.00131,0.41995,0.38484,0.16918,0.00056,0.0
0.1132,0.4749,0.66149,0.25898,0.00132,0.41998,0.38483,0.16914,0.00056,0.0
0.1139,0.47519,0.6616,0.25897,0.00132,0.42002,0.38482,0.16911,0.00056,0.0
0.1146,0.47548,0.66171,0.25895,0.00133,0.42005,0.38481,0.16908,0.00057,0.0
0.1153,0.47576,0.66182,0.25893,0.00134,0.42009,0.3848,0.16906,0.00057,0.0
0.116,0.47604,0.66193,0.25891,0.00134,0.42012,0.38478,0.16903,0.00057,0.0
0.1167,0.47632,0.66203,0.2589,0.00135,0.42015,0.38477,0.169,0.00057,0.0
0.1174,0.47659,0.66213,0.25888,0.00135,0.42018,0.38476,0.16898,0.00057,0.0
0.1181,0.47686,0.66223,0.25886,0.00136,0.42021,0.38474,0.16895,0.00058,0.0
0.1188,0.47712,0.66232,0.25884,0.00136,0.42023,0.38473,0.16893,0.00058,0.0
0.1194,0.47739,0.66241,0.25882,0.00137,0.42026,0.38472,0.1689,0.00058,0.0
0.1201,0.47764,0.6625,0.2588,0.00138,0.42028,0.3847,0.16888,0.00058,0.0
0.1208,0.4779,0.66258,0.25878,0.00138,0.4203,0.38469,0.16886,0.00059,0.0
0.1215,0.47815,0.66267,0.25877,0.00139,0.42033,0.38467,0.16884,0.00059,0.0
0.1222,0.47839,0.66275,0.25875,0.00139,0.42035,0.38466,0.16882,0.00059,0.0
0.1229,0.47864,0.66283,0.25873,0.0014,0.42037,0.38464,0.1688,0.00059,0.0
0.1236,0.47888,0.6629,0.25871,0.0014,0.42038,0.38463,0.16878,0.0006,0.0
0.1243,0.47911,0.66297,0.25869,0.00141,0.4204,0.38461,0.16876,0.0006,0.0
0.125,0.47935,0.66305,0.25867,0.00141,0.42042,0.3846,0.16874,0.0006,0.0
0.1257,0.47958,0.66311,0.25865,0.00142,0.42043,0.38458,0.16873,0.0006,0.0
0.1264,0.47981,0.66318,0.25862,0.00143,0.42045,0.38457,0.16871,0.00061,0.0
0.1271,0.48003,0.66324,0.2586,0.00143,0.42046,0.38455,0.1687,0.00061,0.0
0.1278,0.48025,0.66331,0.25858,0.00144,0.42047,0.38454,0.16868,0.00061,0.0
0.1285,0.48047,0.66337,0.25856,0.00144,0.42048,0.38452,0.16867,0.00061,0.0
0.1292,0.48069,0.66342,0.25854,0.00145,0.42049,0.3845,0.16865,0.00062,1e-05
0.1299,0.4809,0.66348,0.25852,0.00145,0.4205,0.38449,0.16864,0.00062,1e-05
